Orthogroup	cleaned_Carassius_auratus.ASM336829v1.pep.all	cleaned_Cyprinus_carpio_carpio.Cypcar_WagV4.0.pep.all	cleaned_Larimichthys_crocea.L_crocea_2.0.pep.all	cleaned_Oryzias_sinensis.ASM858656v1.pep.all	cleaned_Sinocyclocheilus_anshuiensis.SAMN03320099.WGS_v1.1.pep.all	cleaned_Sinocyclocheilus_grahami.SAMN03320097.WGS_v1.1.pep.all	Total
OG0000000	193	174	33	56	36	25	517
OG0000001	71	284	2	4	71	58	490
OG0000002	186	120	24	37	57	62	486
OG0000003	145	136	0	1	57	92	431
OG0000004	99	83	17	6	80	78	363
OG0000005	2	333	1	0	1	16	353
OG0000006	55	271	5	9	9	4	353
OG0000007	203	79	0	0	33	34	349
OG0000008	80	180	1	0	14	15	290
OG0000009	79	49	20	1	55	69	273
OG0000010	95	60	7	19	41	43	265
OG0000011	76	63	18	3	19	31	210
OG0000012	114	54	10	2	10	10	200
OG0000013	137	12	34	11	0	5	199
OG0000014	82	51	1	1	35	27	197
OG0000015	29	24	35	27	28	49	192
OG0000016	68	23	1	2	49	43	186
OG0000017	57	69	0	0	21	33	180
OG0000018	33	15	62	31	19	15	175
OG0000019	100	48	3	0	10	13	174
OG0000020	41	25	18	23	30	37	174
OG0000021	0	0	0	173	0	0	173
OG0000022	140	29	0	0	0	2	171
OG0000023	158	3	0	0	2	2	165
OG0000024	97	18	1	1	28	19	164
OG0000025	48	35	9	3	37	31	163
OG0000026	147	11	0	0	0	0	158
OG0000027	46	15	39	29	9	20	158
OG0000028	87	55	8	1	1	3	155
OG0000029	30	22	13	7	33	50	155
OG0000030	124	19	0	1	0	10	154
OG0000031	36	38	9	4	37	27	151
OG0000032	41	40	10	10	23	27	151
OG0000033	47	39	8	1	30	26	151
OG0000034	42	23	10	20	18	34	147
OG0000035	52	34	22	2	21	15	146
OG0000036	34	36	1	12	32	30	145
OG0000037	54	47	0	0	14	27	142
OG0000038	29	31	15	13	17	35	140
OG0000039	49	43	3	0	21	24	140
OG0000040	53	34	1	5	23	23	139
OG0000041	37	29	10	4	40	19	139
OG0000042	26	39	10	10	24	30	139
OG0000043	21	20	9	21	30	38	139
OG0000044	30	57	12	2	13	24	138
OG0000045	44	27	11	12	25	19	138
OG0000046	53	51	1	0	16	16	137
OG0000047	43	24	12	4	20	32	135
OG0000048	28	30	10	10	29	27	134
OG0000049	28	56	0	44	2	1	131
OG0000050	24	30	10	4	38	23	129
OG0000051	36	31	10	9	23	19	128
OG0000052	41	33	10	1	23	19	127
OG0000053	43	38	11	5	18	10	125
OG0000054	24	56	3	0	23	18	124
OG0000055	21	23	7	9	34	29	123
OG0000056	36	7	8	5	37	30	123
OG0000057	35	31	0	32	12	13	123
OG0000058	3	9	45	40	10	15	122
OG0000059	45	18	12	7	18	22	122
OG0000060	106	8	4	1	1	2	122
OG0000061	52	25	9	5	17	14	122
OG0000062	37	17	27	1	15	25	122
OG0000063	25	27	9	0	34	24	119
OG0000064	32	28	8	9	12	30	119
OG0000065	101	14	0	0	2	2	119
OG0000066	40	33	11	1	19	14	118
OG0000067	29	34	10	10	8	27	118
OG0000068	90	16	0	3	1	7	117
OG0000069	22	22	2	4	34	33	117
OG0000070	20	20	20	18	19	20	117
OG0000071	33	29	9	10	15	20	116
OG0000072	25	28	10	11	13	28	115
OG0000073	20	26	10	8	23	28	115
OG0000074	37	24	19	5	18	12	115
OG0000075	27	20	8	1	35	23	114
OG0000076	37	42	2	2	17	14	114
OG0000077	27	22	10	10	22	22	113
OG0000078	18	33	9	1	34	18	113
OG0000079	27	39	10	3	12	21	112
OG0000080	63	18	0	0	15	16	112
OG0000081	25	25	10	8	20	24	112
OG0000082	26	25	9	3	29	19	111
OG0000083	21	27	10	6	17	30	111
OG0000084	41	41	10	3	9	7	111
OG0000085	25	18	9	7	33	19	111
OG0000086	39	20	8	9	15	20	111
OG0000087	0	0	64	47	0	0	111
OG0000088	0	95	1	0	7	7	110
OG0000089	30	26	10	10	16	18	110
OG0000090	18	24	10	0	29	29	110
OG0000091	24	15	5	14	22	29	109
OG0000092	23	24	7	9	25	21	109
OG0000093	28	35	10	8	9	19	109
OG0000094	30	20	10	10	19	20	109
OG0000095	27	15	18	10	20	18	108
OG0000096	26	32	7	4	14	25	108
OG0000097	22	66	3	1	7	9	108
OG0000098	33	13	3	7	31	21	108
OG0000099	32	27	3	1	28	17	108
OG0000100	30	19	18	11	20	10	108
OG0000101	36	15	10	10	19	18	108
OG0000102	19	17	16	5	19	32	108
OG0000103	38	20	10	10	19	10	107
OG0000104	34	32	8	1	16	16	107
OG0000105	24	31	9	11	21	11	107
OG0000106	29	19	10	9	20	20	107
OG0000107	38	19	10	8	13	19	107
OG0000108	37	46	3	18	2	0	106
OG0000109	6	79	1	6	5	9	106
OG0000110	58	16	2	1	14	15	106
OG0000111	30	20	10	10	18	18	106
OG0000112	31	20	10	5	20	20	106
OG0000113	30	24	6	3	25	18	106
OG0000114	28	18	10	10	19	20	105
OG0000115	26	19	10	10	20	19	104
OG0000116	36	19	10	10	20	9	104
OG0000117	19	14	9	1	33	27	103
OG0000118	16	25	8	6	24	24	103
OG0000119	29	25	10	1	18	20	103
OG0000120	26	22	15	16	7	17	103
OG0000121	30	31	0	1	26	14	102
OG0000122	17	20	24	9	20	12	102
OG0000123	66	18	0	0	9	9	102
OG0000124	34	19	10	10	20	9	102
OG0000125	29	29	3	4	18	19	102
